No.;#_LOC;MOMBRE_LOCALIDAD;DANE11_ESTABLECIMIENTO_EDUCATIVO;DANE12_ESTABLECIMIENTO_EDUCATIVO;NOMBRE_ESTABLECIMIENTO_EDUCATIVO;NIT  (DISTRITALES NIT FSE);DANE11_SEDE_EDUCATIVA;DANE12_SEDE_EDUCATIVA;NOMBRE_SEDE_EDUCATIVA;CONSECUTIVO;ORDEN DE SEDE;SECTOR;CLASE;PRESTADOR DEL SERVICIO;ESTADO;ZONA;DIRECCION-GEO;BARRIO-GEO;TELEFONO;CORREO ELECTRONICO;WEB;CODIGO POSTAL;CALENDARIO;GENERO;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;GRADOS;MODELOS;CARACTER PARA LA MEDIA ;ESPECIALIDAD PARA LA MEDIA;ENFASIS PARA EL CARACTER ACADEMICO DE LA MEDIA ;RECTOR/DIRECTOR (COLEGIOS DISTRITALES ACTUALIZACION A 09-SEP-2024);CAPACIDADES EXCEPCIONALES;GRUPOS ETNICOS;BILINGÜISMO;REGIMEN Y CATEGORIA DE COSTOS;CHIP_1;CPF;ESTRATO_GEO;No_UPZ;NOMBRE_UPZ;SECTOR_CENSAL;COORDENADA LONGITUD (X);COORDENADA LATITUD (Y);NUMERO_UPL ;NOMBRE UPL
1;1;USAQUEN;11100100136;111001000132;COLEGIO AQUILEO PARRA (IED);8001053451;11100100136;111001000132;AQUILEO PARRA;1;A;OFICIAL;DISTRITAL;OFICIAL;ANTIGUO ACTIVO;URBANA;KR 18 A # 187 - 67/65;EL VERBENAL 1;6714615  --  3043997208;insdiaquileoparrav1@educacionbogota.edu.co;;110141;A;MIXTO;;;;;;;;;;;;;;;;;PREJARDIN|JARDIN|TRANSICION;PREESCOLAR ESCOLARIZADO;PRIMERO|SEGUNDO|TERCERO|CUARTO|QUINTO;EDUCACION TRADICIONAL;SEXTO|SEPTIMO|OCTAVO|NOVENO;EDUCACION TRADICIONAL;DECIMO|ONCE;EDUCACION TRADICIONAL;TRANSICION;PREESCOLAR ESCOLARIZADO;PRIMERO|SEGUNDO|TERCERO|CUARTO|QUINTO;EDUCACION TRADICIONAL;SEXTO|SEPTIMO|OCTAVO|NOVENO;EDUCACION TRADICIONAL;DECIMO|ONCE;EDUCACION TRADICIONAL;CICLO2;EDUCACION PARA JOVENES EN EXTRAEDAD Y ADULTOS;CICLO3|CICLO4;EDUCACION PARA JOVENES EN EXTRAEDAD Y ADULTOS;CICLO5|CICLO6;EDUCACION PARA JOVENES EN EXTRAEDAD Y ADULTOS;;;;;;;ACADEMICO;ACADEMICA;;CARLOS EDUARDO GALAN CASTRO;CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO;AFRODESCENDIENTES-INDIGENAS-NEGRITUDES;;;AAA0142LBRJ;115;SIN ESTRATO;9;VERBENAL;008527;-74,03917;4,76573;26;TOBERIN
2;1;USAQUEN;11100129959;111001029955;COLEGIO AGUSTIN FERNANDEZ (IED);830092890;11100129959;111001029955;AGUSTIN FERNANDEZ;1;A;OFICIAL;DISTRITAL;OFICIAL;ANTIGUO ACTIVO;URBANA;KR 7 # 155 - 20;BOSQUE DE PINOS III;6710239  --  6718876  --  6791049;coldiagustinfernan1@educacionbogota.edu.co;http://rectoriagustinfernandez.blogspot.com/;110131;A;MIXTO;PREJARDIN|JARDIN|TRANSICION;PREESCOLAR ESCOLARIZADO;PRIMERO|SEGUNDO|TERCERO|CUARTO|QUINTO;EDUCACION TRADICIONAL;SEXTO|SEPTIMO|OCTAVO|NOVENO;EDUCACION TRADICIONAL;DECIMO|ONCE;EDUCACION TRADICIONAL;;;;;;;;;;;;;;;;;;;;;;;;;CICLO1|CICLO2;EDUCACION PARA JOVENES EN EXTRAEDAD Y ADULTOS;CICLO3|CICLO4;EDUCACION PARA JOVENES EN EXTRAEDAD Y ADULTOS;CICLO5|CICLO6;EDUCACION PARA JOVENES EN EXTRAEDAD Y ADULTOS;;;;;;;ACADEMICO;ACADEMICA;;EDUARDO RAMIREZ OSORIO;CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO;AFRODESCENDIENTES-INDIGENAS-NEGRITUDES;;;AAA0115LEWF;114;SIN ESTRATO;13;LOS CEDROS;008520;-74,02410;4,72965;26;TOBERIN
3;1;USAQUEN;11100129959;111001029955;COLEGIO AGUSTIN FERNANDEZ (IED);830092890;11184800243;111848000244;SAN BERNARDO;2;B;OFICIAL;DISTRITAL;OFICIAL;ANTIGUO ACTIVO;URBANA;KR 1 A ESTE # 161 - 24  --  KR 1 A # 161 - 24;CERROS NORTE;6771239  --  6703224 ;coldiagustinfernan1@educacionbogota.edu.co;http://rectoriagustinfernandez.blogspot.com/;110131;A;MIXTO;PREJARDIN|JARDIN|TRANSICION;PREESCOLAR ESCOLARIZADO;PRIMERO|SEGUNDO|TERCERO|CUARTO|QUINTO;EDUCACION TRADICIONAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EDUARDO RAMIREZ OSORIO;CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO;AFRODESCENDIENTES-INDIGENAS;;;AAA0115HUFT;128;1;11;SAN CRISTOBAL NORTE;008520;-74,01767;4,73253;26;TOBERIN
4;1;USAQUEN;11100129959;111001029955;COLEGIO AGUSTIN FERNANDEZ (IED);830092890;11184803455;111848003456;SANTA CECILIA ALTA;3;C;OFICIAL;DISTRITAL;OFICIAL;ANTIGUO ACTIVO;URBANA;KR 1 ESTE # 163 - 60;SANTA CECILIA PUENTE NORTE;6799948;coldiagustinfernan1@educacionbogota.edu.co;http://rectoriagustinfernandez.blogspot.com/;110131;A;MIXTO;PREJARDIN|JARDIN|TRANSICION;PREESCOLAR ESCOLARIZADO;PRIMERO|SEGUNDO|TERCERO|CUARTO|QUINTO;EDUCACION TRADICIONAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EDUARDO RAMIREZ OSORIO;TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN CIENCIAS SOCIALES O HUMANAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO;AFRODESCENDIENTES-INDIGENAS;;;AAA0157OEBS;129;1;11;SAN CRISTOBAL NORTE;008535;-74,01617;4,73506;26;TOBERIN
5;1;USAQUEN;11100129959;111001029955;COLEGIO AGUSTIN FERNANDEZ (IED);830092890;;111001800920;LOS PISINGOS;4;D;OFICIAL;DISTRITAL;OFICIAL;ANTIGUO ACTIVO;URBANA;KR 7 # 158 - 41;BARRANCAS NORTE;3002069223;coldiagustinfernan1@educacionbogota.edu.co;http://rectoriagustinfernandez.blogspot.com/;110131;A;MIXTO;TRANSICION;PREESCOLAR ESCOLARIZADO;ACELERACION;ACELERACION DEL APRENDIZAJE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EDUARDO RAMIREZ OSORIO;TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO;AFRODESCENDIENTES-INDIGENAS;;;;;;11;SAN CRISTOBAL NORTE;;-74,02446;4,73354;26;TOBERIN
6;1;USAQUEN;11100144800;111001044806;COLEGIO FRIEDRICH NAUMANN (IED);830049093;11100144800;111001044806;FRIEDRICH NAUMANN;1;A;OFICIAL;DISTRITAL;OFICIAL;ANTIGUO ACTIVO;URBANA;AK 7 # 171 B - 26;LA GRANJA NORTE;6682577;cedfriedrichnauma1@educacionbogota.edu.co;https://www.redacademica.edu.co/colegios/colegio-friedrich-naumann-ied;110141;A;MIXTO;;;CUARTO|QUINTO;EDUCACION TRADICIONAL;SEXTO|SEPTIMO|OCTAVO|NOVENO;EDUCACION TRADICIONAL;DECIMO|ONCE;EDUCACION TRADICIONAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ACADEMICO;ACADEMICA;;MARGARITA SIABATO PATIÑO;TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE;AFRODESCENDIENTES-INDIGENAS-NEGRITUDES;;;AAA0108LEDM;123;2;10;LA URIBE;008536;-74,02321;4,74921;26;TOBERIN
7;1;USAQUEN;11100144800;111001044806;COLEGIO FRIEDRICH NAUMANN (IED);830049093;11184800197;111848000198;EL CODITO;2;B;OFICIAL;DISTRITAL;OFICIAL;ANTIGUO ACTIVO;URBANA;CL 182 # 6 - 30;HORIZONTES NORTE;6682577;cedfriedrichnauma1@educacionbogota.edu.co;https://www.redacademica.edu.co/colegios/colegio-friedrich-naumann-ied;110141;A;MIXTO;PREJARDIN|JARDIN|TRANSICION;PREESCOLAR ESCOLARIZADO;PRIMERO|SEGUNDO|TERCERO;EDUCACION TRADICIONAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MARGARITA SIABATO PATIÑO;TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO;AFRODESCENDIENTES-INDIGENAS;;;AAA0117EYSY;121;2;9;VERBENAL;008534;-74,02554;4,75887;26;TOBERIN
8;1;USAQUEN;11100146951;111001046957;COLEGIO TOBERIN (IED);830007423;11100146951;111001046957;TOBERIN;1;A;OFICIAL;DISTRITAL;OFICIAL;ANTIGUO ACTIVO;URBANA;CL 166 # 16 C - 15;EL TOBERIN;6790327  --  3002069340;cedtoberin1@educacionbogota.edu.co;;110131;A;MIXTO;;;;;;;DECIMO|ONCE;EDUCACION TRADICIONAL;;;;;;;;;;;TERCERO;EDUCACION TRADICIONAL;SEXTO|SEPTIMO|OCTAVO|NOVENO;EDUCACION TRADICIONAL;;;;;SEGUNDO|TERCERO|CUARTO|QUINTO|ACELERACION;EDUCACION TRADICIONAL|ACELERACION DEL APRENDIZAJE;SEXTO|SEPTIMO|OCTAVO|NOVENO;EDUCACION TRADICIONAL;;;;;;;;;;;;;;;ACADEMICO;ACADEMICA;;JUAN MANUEL MENDEZ ALVAREZ;TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN CIENCIAS NATURALES O BASICAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO-TALENTO EXCEPCIONAL EN TECNOLOGIA;AFRODESCENDIENTES-INDIGENAS-NEGRITUDES;;;AAA0107TFBR;122;3;12;TOBERIN;008501;-74,03949;4,74541;26;TOBERIN
9;1;USAQUEN;11100146951;111001046957;COLEGIO TOBERIN (IED);830007423;11184803765;111001086843;BABILONIA;2;B;OFICIAL;DISTRITAL;OFICIAL;ANTIGUO ACTIVO;URBANA;KR 14 C # 164 - 75;LA PRADERA NORTE;6745420  --  3057924071;cedtoberin1@educacionbogota.edu.co;;110131;A;MIXTO;;;;;;;;;;;;;;;;;;;PRIMERO|TERCERO|CUARTO|QUINTO|ACELERACION;EDUCACION TRADICIONAL|ACELERACION DEL APRENDIZAJE;;;;;;;TERCERO|CUARTO|QUINTO|ACELERACION;EDUCACION TRADICIONAL|ACELERACION DEL APRENDIZAJE;;;;;;;;;;;;;;;;;;;;JUAN MANUEL MENDEZ ALVAREZ;CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN CIENCIAS NATURALES O BASICAS;AFRODESCENDIENTES-INDIGENAS-NEGRITUDES-RAIZALES;;;AAA0108AKYN;102;3;12;TOBERIN;008502;-74,03571;4,74300;26;TOBERIN
10;1;USAQUEN;11100146951;111001046957;COLEGIO TOBERIN (IED);830007423;11184800081;111848000082;LAS ORQUIDEAS;3;C;OFICIAL;DISTRITAL;OFICIAL;ANTIGUO ACTIVO;URBANA;KR 17 # 163 A - 22;LAS ORQUIDEAS;6708717  --  3057912432;cedtoberin1@educacionbogota.edu.co;;110131;A;MIXTO;PREJARDIN|JARDIN|TRANSICION;PREESCOLAR ESCOLARIZADO;;;;;;;;;;;;;;;;;PRIMERO|SEGUNDO;EDUCACION TRADICIONAL;;;;;;;PRIMERO|SEGUNDO;EDUCACION TRADICIONAL;;;;;;;;;;;;;;;;;;;;JUAN MANUEL MENDEZ ALVAREZ;TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS;AFRODESCENDIENTES-INDIGENAS;;;AAA0113NFLF;106;3;12;TOBERIN;008516;-74,04045;4,74305;26;TOBERIN
